"startTime";"endTime";"Sähkönkulutus Suomessa"
"2026-03-31T21:00:00.000Z";"2026-03-31T21:15:00.000Z";10192.1
"2026-03-31T21:15:00.000Z";"2026-03-31T21:30:00.000Z";10195.7
"2026-03-31T21:30:00.000Z";"2026-03-31T21:45:00.000Z";10114.6
"2026-03-31T21:45:00.000Z";"2026-03-31T22:00:00.000Z";10061.4
"2026-03-31T22:00:00.000Z";"2026-03-31T22:15:00.000Z";10182.3
"2026-03-31T22:15:00.000Z";"2026-03-31T22:30:00.000Z";10326.9
"2026-03-31T22:30:00.000Z";"2026-03-31T22:45:00.000Z";10304.1
"2026-03-31T22:45:00.000Z";"2026-03-31T23:00:00.000Z";10254.6
"2026-03-31T23:00:00.000Z";"2026-03-31T23:15:00.000Z";10291.8
"2026-03-31T23:15:00.000Z";"2026-03-31T23:30:00.000Z";10349.4
"2026-03-31T23:30:00.000Z";"2026-03-31T23:45:00.000Z";10252.8
"2026-03-31T23:45:00.000Z";"2026-04-01T00:00:00.000Z";10194.2
"2026-04-01T00:00:00.000Z";"2026-04-01T00:15:00.000Z";10206.7
"2026-04-01T00:15:00.000Z";"2026-04-01T00:30:00.000Z";10191.8
"2026-04-01T00:30:00.000Z";"2026-04-01T00:45:00.000Z";10164.4
"2026-04-01T00:45:00.000Z";"2026-04-01T01:00:00.000Z";10070.2
"2026-04-01T01:00:00.000Z";"2026-04-01T01:15:00.000Z";10035.2
"2026-04-01T01:15:00.000Z";"2026-04-01T01:30:00.000Z";10055.3
"2026-04-01T01:30:00.000Z";"2026-04-01T01:45:00.000Z";10082
"2026-04-01T01:45:00.000Z";"2026-04-01T02:00:00.000Z";10122
"2026-04-01T02:00:00.000Z";"2026-04-01T02:15:00.000Z";10198.6
"2026-04-01T02:15:00.000Z";"2026-04-01T02:30:00.000Z";10265.8
"2026-04-01T02:30:00.000Z";"2026-04-01T02:45:00.000Z";10314.1
"2026-04-01T02:45:00.000Z";"2026-04-01T03:00:00.000Z";10417.9
"2026-04-01T03:00:00.000Z";"2026-04-01T03:15:00.000Z";10578.1
"2026-04-01T03:15:00.000Z";"2026-04-01T03:30:00.000Z";10679.9
